course_number,description
ACCT 1201.,Financial Accounting and Reporting.  (4 Hours)
ACCT 1209.,Financial Accounting and Reporting.  (4 Hours)
ACCT 1990.,Elective.  (1-4 Hours)
ACCT 2301.,Managerial Accounting.  (4 Hours)
ACCT 2990.,Elective.  (1-4 Hours)
ACCT 3304.,Business Law and Professional Ethics.  (4 Hours)
ACCT 3401.,Financial Reporting and Analysis 1.  (4 Hours)
ACCT 3402.,Financial Reporting and Financial Statement Analysis.  (4 Hours)
ACCT 3403.,Advisory Services and Emerging Accounting Systems.  (4 Hours)
ACCT 3416.,Strategic Cost Analysis for Decision Making.  (4 Hours)
ACCT 3990.,Elective.  (1-4 Hours)
ACCT 4412.,Auditing and Other Assurance Services.  (4 Hours)
ACCT 4414.,Income Tax Determination and Planning.  (4 Hours)
ACCT 4501.,Financial Reporting and Analysis 2.  (4 Hours)
ACCT 4990.,Elective.  (1-4 Hours)
ACCT 4992.,Directed Study.  (1-4 Hours)
ACCT 5201.,Foundations of Financial Reporting and Analysis 1.  (3 Hours)
ACCT 5202.,Foundations of Assurance Services.  (3 Hours)
ACCT 5203.,Foundations of Income Tax Determination and Planning.  (3 Hours)
ACCT 5204.,Foundations of Financial Reporting and Analysis 2.  (3 Hours)
ACCT 5220.,Data Analytics for Advisory Services.  (4 Hours)
ACCT 5230.,Federal Tax Issues and Analysis.  (3 Hours)
ACCT 5232.,Estate and Gift Taxation.  (3 Hours)
ACCT 5255.,Forensic Accounting.  (3 Hours)
ACCT 5256.,Internal Auditing.  (3 Hours)
ACCT 5976.,Directed Study.  (1-4 Hours)
ACCT 6200.,Financial Reporting and Managerial Decision Making 1.  (3 Hours)
ACCT 6201.,Financial Reporting and Managerial Decision Making 2.  (1.5 Hours)
ACCT 6203.,Business Entity Taxation.  (3 Hours)
ACCT 6204.,Financial Reporting for Integrated Multinational Enterprises.  (3 Hours)
ACCT 6205.,Auditing in a Big Data Environment.  (3 Hours)
ACCT 6207.,Contemporary and Emerging Issues in Financial Reporting.  (3 Hours)
ACCT 6216.,Financial Reporting for Governments and Nonprofit Entities.  (2 Hours)
ACCT 6217.,"Corporate Governance, Ethics, and Financial Reporting.  (3 Hours)"
ACCT 6220.,Corporate Financial Reporting and Decision Making 1.  (3 Hours)
ACCT 6221.,Corporate Financial Reporting and Decision Making 2.  (6 Hours)
ACCT 6222.,Corporate and Governmental/Nonprofit Financial Reporting and Decision Making.  (6 Hours)
ACCT 6223.,Audit and Other Assurance Services.  (6 Hours)
ACCT 6224.,Taxation of Individuals and Business Entities.  (6 Hours)
ACCT 6226.,Strategic Cost Management.  (3 Hours)
ACCT 6227.,Accounting for Business Combinations.  (3 Hours)
ACCT 6228.,Contemporary Issues in Accounting Theory.  (3 Hours)
ACCT 6229.,Accounting for Foreign Currency Transactions.  (1 Hour)
ACCT 6231.,Corporations and Shareholders.  (3 Hours)
ACCT 6235.,Partners and Partnerships.  (3 Hours)
ACCT 6239.,State and Local Taxation.  (3 Hours)
ACCT 6240.,International Taxation: Inbound Transactions.  (3 Hours)
ACCT 6241.,International Taxation: Outbound Transactions.  (3 Hours)
ACCT 6243.,Advanced Flow-Through Entities.  (3 Hours)
ACCT 6248.,Income Taxation of Trusts and Estates.  (3 Hours)
ACCT 6249.,Financial Planning for Investments.  (3 Hours)
ACCT 6250.,Financial Planning for Insurance.  (3 Hours)
ACCT 6253.,Ethics in the Accounting Profession.  (3 Hours)
ACCT 6254.,Accounting Research and Communication.  (3 Hours)
ACCT 6262.,Advanced Topics in Accounting.  (1.5 Hours)
ACCT 6264.,Planning for Estate Tax Issues.  (3 Hours)
ACCT 6265.,Tax Accounting for Income Taxes.  (3 Hours)
ACCT 6272.,Financial Statement Preparation and Analysis.  (2.25 Hours)
ACCT 6273.,Identifying Strategic Implications in Accounting Data.  (2.25 Hours)
ACCT 6280.,Planning and Budgeting for Innovation.  (3 Hours)
ACCT 6292.,"Tax Research, Practice, and Ethics.  (3 Hours)"
ACCT 6318.,Analyzing Accounting Data for Strategic Decision Making.  (2 Hours)
ACCT 6962.,Elective.  (1-4 Hours)
ACCT 7976.,Directed Study.  (1-4 Hours)
ACC 1990.,lective.  (1-4 Hours)
ACC 2100.,inancial Accounting.  (3 Hours)
ACC 2200.,anagerial Accounting.  (3 Hours)
ACC 2300.,ost Accounting.  (3 Hours)
ACC 3201.,inancial Reporting and Analysis 1.  (3 Hours)
ACC 3202.,inancial Reporting and Analysis 2.  (3 Hours)
ACC 3330.,rinciples of Auditing.  (3 Hours)
ACC 3410.,rinciples of Taxation.  (3 Hours)
ACC 3990.,lective.  (1-4 Hours)
ACC 4320.,inancial Statement Analysis.  (3 Hours)
ACC 4410.,dvanced Taxation.  (3 Hours)
ACC 4420.,dvanced Accounting.  (3 Hours)
ACC 4955.,roject.  (1-4 Hours)
ACC 4990.,lective.  (1-4 Hours)
ACC 6210.,orensic Accounting Principles.  (3 Hours)
ACC 6220.,issecting Financial Statements.  (3 Hours)
ACC 6230.,nvestigative Accounting and Fraud Examination.  (3 Hours)
ACC 6240.,itigation Support.  (3 Hours)
ACC 6962.,lective.  (1-4 Hours)
AVM 1100.,undamental Measurement Analysis.  (3 Hours)
AVM 1150.,undamentals of Manufacturing Systems.  (3 Hours)
AVM 1200.,"undamentals of Safety, Health, and Environmental Issues.  (3 Hours)"
AVM 1990.,lective.  (1-4 Hours)
AVM 2200.,omposite Materials and Applications.  (3 Hours)
AVM 2250.,aterials Performance and Applications.  (3 Hours)
